Review,Sentiment,Cleaned_Review,Tokenized_Review
"Máy rất tệ,1 ngày phải khởi động máy lại 3 lần do đơ cảm ứng,pin thì hết rất nhanh.", ,máy rất tệ1 ngày phải khởi động máy lại 3 lần do đơ cảm ứngpin thì hết rất nhanh,máy rất tệ1 ngày phải khởi_động máy lại 3 lần do đơ cảm ứngpin thì hết rất nhanh
Tệ quá tệ. Máy lỗi mà xử lý hết lỗi cũng ráng xài. Giờ đổi cũng ko hết lỗi mà trả thì mất 20% mới mua 2 tuần. Chẳng lẻ bỏ tiền mua máy lỗi về xài. Chính sách bảo hành cứng nhắc như v ai dám sử dụng nữa., ,tệ quá tệ máy lỗi mà xử lý hết lỗi cũng ráng xài giờ đổi cũng ko hết lỗi mà trả thì mất 20 mới mua 2 tuần chẳng lẻ bỏ tiền mua máy lỗi về xài chính sách bảo hành cứng nhắc như v ai dám sử dụng nữa,tệ quá tệ máy lỗi mà xử_lý hết lỗi cũng ráng xài giờ đổi cũng ko hết lỗi mà trả thì mất 20 mới mua 2 tuần chẳng lẻ bỏ tiền mua máy lỗi về xài chính_sách bảo_hành cứng_nhắc như v ai dám sử_dụng nữa
"Pin hao rất nhanh , còn hao nhanh hơn con redmi 11 đang dùng . Chỉ để không thôi cũng hao 30% pin . Wifi kém . Không nên mua", ,pin hao rất nhanh còn hao nhanh hơn con redmi 11 đang dùng chỉ để không thôi cũng hao 30 pin wifi kém không nên mua,pin hao rất nhanh còn hao nhanh hơn con redmi 11 đang dùng chỉ để không thôi cũng hao 30 pin wifi kém không nên mua
"Điện thoại rất tệ, chụp ảnh thì xấu,,mới mua về đã giật lag khi load các ứng dụng thường rồi,khi chơi game như tốc chiến thì thôi tốt nhất nên né con này ra, mới ra giá 8 triệu như một cú lừa khách hàng. điểm sáng duy nhất pin trâu, xạc nhất, mọi tác vụ khác qua tệ trong so với giá", ,điện thoại rất tệ chụp ảnh thì xấumới mua về đã giật lag khi load các ứng dụng thường rồikhi chơi game như tốc chiến thì thôi tốt nhất nên né con này ra mới ra giá 8 triệu như một cú lừa khách hàng điểm sáng duy nhất pin trâu xạc nhất mọi tác vụ khác qua tệ trong so với giá,điện_thoại rất tệ chụp ảnh thì xấumới mua về đã giật lag khi load các ứng_dụng thường rồikhi chơi game như tốc chiến thì thôi tốt nhất nên né con này ra mới ra giá 8 triệu như một cú lừa khách_hàng điểm sáng duy_nhất pin trâu xạc nhất mọi tác_vụ khác qua tệ trong so với giá
"Mua hồi 20/5 máy bắt đầu bị đứng trong vào mess và bắt sóng wifi rất tệ, hầu như không gửi tin nhắn đi được", ,mua hồi 205 máy bắt đầu bị đứng trong vào mess và bắt sóng wifi rất tệ hầu như không gửi tin nhắn đi được,mua hồi 205 máy bắt_đầu bị đứng trong vào mess và bắt sóng wifi rất tệ hầu_như không gửi tin nhắn đi được
"Mua được 2 hôm. Cứ vào gg map là lại bị văng ra. Dùng mấy đời xiaomi chưa có lần nào trải nghiệm tệ như này, nhân viên tổng đài thái độ lồi lõm. Âm điểm dịch vụ. Không nên mua.", ,mua được 2 hôm cứ vào gg map là lại bị văng ra dùng mấy đời xiaomi chưa có lần nào trải nghiệm tệ như này nhân viên tổng đài thái độ lồi lõm âm điểm dịch vụ không nên mua,mua được 2 hôm cứ vào gg map là lại bị văng ra dùng mấy_đời xiaomi chưa có lần nào trải_nghiệm tệ như này nhân_viên tổng_đài thái_độ lồi_lõm âm điểm dịch_vụ không nên mua
"Máy hay bị đơ, thi thoảng giật, pin thì hết nhanh", ,máy hay bị đơ thi thoảng giật pin thì hết nhanh,máy hay bị đơ thi_thoảng giật pin thì hết nhanh
Hỗm bữa mình cũng mua 1 cây nhưng mic nói chuyện người khác không nghe ko biết có cách nào khắc phục ko. Nản, ,hỗm bữa mình cũng mua 1 cây nhưng mic nói chuyện người khác không nghe ko biết có cách nào khắc phục ko nản,hỗm bữa mình cũng mua 1 cây nhưng mic nói_chuyện người khác không nghe ko biết có cách nào khắc_phục ko nản
Xài được 2 tháng. 1 ngày sạc 1 lần. Hết pin sạc nhanh thiệt. Hơn tiếng là đầy. Nếu xài liên tục sáng sạc đầy sử dụng đến chiều là hết pin. Từ lúc mua ngày sạc 1 lần. Hôm nay 8h sáng sạc. Giờ gần 3 giờ chiều pin còn 34%. Càng ngày càng hao pin. Kiểm tra pin thì thấy báo xài được 1 ngày 4 5 tiếng. Thực tế chưa dc 12 tiếng., ,xài được 2 tháng 1 ngày sạc 1 lần hết pin sạc nhanh thiệt hơn tiếng là đầy nếu xài liên tục sáng sạc đầy sử dụng đến chiều là hết pin từ lúc mua ngày sạc 1 lần hôm nay 8h sáng sạc giờ gần 3 giờ chiều pin còn 34 càng ngày càng hao pin kiểm tra pin thì thấy báo xài được 1 ngày 4 5 tiếng thực tế chưa dc 12 tiếng,xài được 2 tháng 1 ngày sạc 1 lần hết pin sạc nhanh thiệt_hơn tiếng là đầy nếu xài liên_tục sáng sạc đầy sử_dụng đến chiều là hết pin từ lúc mua ngày sạc 1 lần hôm_nay 8h sáng sạc giờ gần 3 giờ chiều pin còn 34 càng_ngày_càng hao pin kiểm_tra pin thì thấy báo xài được 1 ngày 4 5 tiếng thực_tế chưa dc 12 tiếng
Có ai gặp giống mình không..sạc pin luôn báo lỗi liên tục..rút sạc ra củng báo lỗi liên tục..có khi sạc pin đứng im không lên luôn..rút cáp ra mà vẫn báo đang sạc..máy mua chưa dc 1 tháng, ,có ai gặp giống mình khôngsạc pin luôn báo lỗi liên tụcrút sạc ra củng báo lỗi liên tụccó khi sạc pin đứng im không lên luônrút cáp ra mà vẫn báo đang sạcmáy mua chưa dc 1 tháng,có ai gặp giống mình khôngsạc pin luôn báo lỗi liên tụcrút sạc ra củng báo lỗi liên tụccó khi sạc pin đứng im không lên luônrút cáp ra mà vẫn báo đang sạcmáy mua chưa dc 1 tháng
Vừa mua đk 3 hôm đã giảm 600 k bịp, ,vừa mua đk 3 hôm đã giảm 600 k bịp,vừa mua đk 3 hôm đã giảm 600 k bịp
"Mua 5 tháng đơ luôn cảm ứng nay đi hỏi thì kêu gửi bảo hành ,1015 ngày rồi lấy gì xài trời,Mọi thứ đều ổn trời mua chú bảo vệ bắt bỏ dép ngoài mới được dô", ,mua 5 tháng đơ luôn cảm ứng nay đi hỏi thì kêu gửi bảo hành 1015 ngày rồi lấy gì xài trờimọi thứ đều ổn trời mua chú bảo vệ bắt bỏ dép ngoài mới được dô,mua 5 tháng đơ luôn cảm_ứng nay đi hỏi thì kêu gửi bảo_hành 1015 ngày rồi lấy gì xài trờimọi thứ đều ổn trời mua chú bảo_vệ bắt bỏ dép ngoài mới được dô
"Mới mua dùng ổn, sau khi cập nhật lên one ui 6.1 thì hao pin. Dùng sạc nhanh 25w bị bóp tốc độ sạc. Trước đây từ 15% lên 100% thì khoảng 1h15ph giờ thì hơn 2h mới đầy pin. Chán samsung quá", ,mới mua dùng ổn sau khi cập nhật lên one ui 61 thì hao pin dùng sạc nhanh 25w bị bóp tốc độ sạc trước đây từ 15 lên 100 thì khoảng 1h15ph giờ thì hơn 2h mới đầy pin chán samsung quá,mới mua dùng ổn sau khi cập_nhật lên one ui 61 thì hao pin dùng sạc nhanh 25w bị bóp tốc_độ sạc trước_đây từ 15 lên 100 thì khoảng 1h15ph giờ thì hơn 2h mới đầy pin chán samsung quá
Bắt sóng rất yếu. Yếu hơn những dòng rẻ tiền hơn. Mau hết pin so với máy cùng dung lượng pin., ,bắt sóng rất yếu yếu hơn những dòng rẻ tiền hơn mau hết pin so với máy cùng dung lượng pin,bắt sóng rất yếu yếu hơn những dòng rẻ_tiền hơn mau hết pin so với máy cùng dung_lượng pin
"cấu hình không giống trên web ghi chip Snapdragon 680 màn hình 90hz, về check cpuz thì chỉ là Snapdragon 665 và màn hình chỉ có 60hz,thêm nữa là loa âm thanh nhỏ.", ,cấu hình không giống trên web ghi chip snapdragon 680 màn hình 90hz về check cpuz thì chỉ là snapdragon 665 và màn hình chỉ có 60hzthêm nữa là loa âm thanh nhỏ,cấu_hình không giống trên web ghi chip snapdragon 680 màn_hình 90hz về check cpuz thì chỉ là snapdragon 665 và màn_hình chỉ có 60hzthêm nữa là loa âm_thanh nhỏ
Mới mua 1 ngày pin xài 1 tiếng tụt 15%, ,mới mua 1 ngày pin xài 1 tiếng tụt 15,mới mua 1 ngày pin xài 1 tiếng tụt 15
"ngày 9/9 tôi có mua máy ở siêu thị tân nghĩa, nhưng bạn bán máy cho tôi không tư vấn rõ về cốc sạt của máy là hai đầu chui nhỏ. bạn chỉ bảo là sử dụng bộ sạt củ ở nhà là sạt được. tôi không hài lòng về cách tư vấn và thái độ của bạn", ,ngày 99 tôi có mua máy ở siêu thị tân nghĩa nhưng bạn bán máy cho tôi không tư vấn rõ về cốc sạt của máy là hai đầu chui nhỏ bạn chỉ bảo là sử dụng bộ sạt củ ở nhà là sạt được tôi không hài lòng về cách tư vấn và thái độ của bạn,ngày 99 tôi có mua máy ở siêu_thị tân_nghĩa nhưng bạn bán máy cho tôi không tư_vấn rõ về cốc sạt của máy là hai đầu chui nhỏ bạn chỉ_bảo là sử_dụng bộ sạt củ ở nhà là sạt được tôi không hài_lòng về cách tư_vấn và thái_độ của bạn
"Điện thoại giảm bắt sóng 4g yếu, lổi tùm lum mới bảo hành về mà thấy vẩn giảm.", ,điện thoại giảm bắt sóng 4g yếu lổi tùm lum mới bảo hành về mà thấy vẩn giảm,điện_thoại giảm bắt sóng 4g yếu lổi tùm_lum mới bảo_hành về mà thấy vẩn giảm
Sau một ngày sử dụng thì thấy máy rất pin nhanh hết trong khi 5000mahmàn hình 1080x2400 mà dùng như 480p upscale lêncamera thì tệso với con oppo k3 sx2019 thì kém trong khi máy thì mới ra năm nay, ,sau một ngày sử dụng thì thấy máy rất pin nhanh hết trong khi 5000mahmàn hình 1080x2400 mà dùng như 480p upscale lêncamera thì tệso với con oppo k3 sx2019 thì kém trong khi máy thì mới ra năm nay,sau một ngày sử_dụng thì thấy máy rất pin nhanh hết trong khi 5000mahmàn hình 1080x2400 mà dùng như 480p upscale lêncamera thì tệso với con oppo k3 sx2019 thì kém trong khi máy thì mới ra năm nay
"Pin tụt rất nhanh mặc dù pin là 5000, thông số camera hơi ảo, sóng điện thoại chập chờn nghe gọi rất tệ, máy cài ở 120hz hay giật đơ, chơi game thì nóng máy rất nhanh.", ,pin tụt rất nhanh mặc dù pin là 5000 thông số camera hơi ảo sóng điện thoại chập chờn nghe gọi rất tệ máy cài ở 120hz hay giật đơ chơi game thì nóng máy rất nhanh,pin tụt rất nhanh mặc_dù pin là 5000 thông_số camera hơi ảo sóng điện_thoại chập_chờn nghe gọi rất tệ máy cài ở 120hz hay giật đơ chơi game thì nóng máy rất nhanh
"Mạng yếu hay mất sóng, đổi máy khác được không", ,mạng yếu hay mất sóng đổi máy khác được không,mạng yếu hay mất sóng đổi máy khác được không
"Mới mua ,Máy không Sài mà để pin nó cũng tụt như xe tụt dốc không phanh.loa thì nhỏ.", ,mới mua máy không sài mà để pin nó cũng tụt như xe tụt dốc không phanhloa thì nhỏ,mới mua máy không sài mà để pin nó cũng tụt như xe tụt_dốc không phanhloa thì nhỏ
Lần 1 máy mới mua bị rè ra cửa hàng đổi lấy máy khác về xài được vài hôm máy lại rè, ,lần 1 máy mới mua bị rè ra cửa hàng đổi lấy máy khác về xài được vài hôm máy lại rè,lần 1 máy mới mua bị rè ra cửa_hàng đổi lấy máy khác về xài được vài hôm máy lại rè
"Mua được 4 ngày, xài mau tuột pin, nóng máy. Chán.", ,mua được 4 ngày xài mau tuột pin nóng máy chán,mua được 4 ngày xài mau tuột pin nóng máy chán
"Mua ngay 20 ,05 ,2024 may sài 10 ngay bị nóng quá ra đoi máy khác cũng nóng như zay chắc loại A25 5G này bị lỗi .máy nóng bị cháy nổ thì ai triệu trách nhiệm", ,mua ngay 20 05 2024 may sài 10 ngay bị nóng quá ra đoi máy khác cũng nóng như zay chắc loại a25 5g này bị lỗi máy nóng bị cháy nổ thì ai triệu trách nhiệm,mua ngay 20 05 2024 may sài 10 ngay bị nóng quá ra đoi máy khác cũng nóng như zay chắc loại a25 5g này bị lỗi máy nóng bị cháy nổ thì ai triệu trách_nhiệm
"Máy bị lõi màn hình đổi sang cái thứ 3 vẫn bị lỗi, quá chán . Muốn đổi sang dòng khác phải chịu lỗ 20%, mới mua đc 4 5 ngày .màn hình k bấm tự nhảy liên tục, ra tgdd test k ra. Nv lại bảo có thể do dán cường lực bên ngoài, về tháo cường lực ra dùng vẫn bị như bthuong.", ,máy bị lõi màn hình đổi sang cái thứ 3 vẫn bị lỗi quá chán muốn đổi sang dòng khác phải chịu lỗ 20 mới mua đc 4 5 ngày màn hình k bấm tự nhảy liên tục ra tgdd test k ra nv lại bảo có thể do dán cường lực bên ngoài về tháo cường lực ra dùng vẫn bị như bthuong,máy bị lõi màn_hình đổi sang cái thứ 3 vẫn bị lỗi quá chán muốn đổi sang dòng khác phải chịu lỗ 20 mới mua đc 4 5 ngày màn_hình k bấm tự nhảy liên_tục ra tgdd test k ra nv lại bảo có_thể do dán cường_lực bên ngoài về tháo cường_lực ra dùng vẫn bị như bthuong
"vừa mua xong thì giá giảm nên nhìn cái điện thoại là ko ưa nổi, cũng như TGDD, nhân viên chẳng có tâm gì cả", ,vừa mua xong thì giá giảm nên nhìn cái điện thoại là ko ưa nổi cũng như tgdd nhân viên chẳng có tâm gì cả,vừa mua xong thì giá giảm nên nhìn cái điện_thoại là ko ưa nổi cũng như tgdd nhân_viên chẳng có tâm gì cả
Không sử dụng cũng hao pin. Tối từ 69% sáng thức dậy còn 53%, ,không sử dụng cũng hao pin tối từ 69 sáng thức dậy còn 53,không sử_dụng cũng hao pin tối từ 69 sáng thức dậy còn 53
Máy bấm có xíu tuột pin nhanh với lại k bấm lâu mà máy nóng sạt cũng nóng, ,máy bấm có xíu tuột pin nhanh với lại k bấm lâu mà máy nóng sạt cũng nóng,máy bấm có xíu tuột pin nhanh với_lại k bấm lâu mà máy nóng sạt cũng nóng
"đt mới mua chưa được 1 tháng nhưng gọi video cứ bị kết nối wifi kém, k nghe được tiếng và hình ảnh bị nhè, Lúc mới đem về cứ tưởng do mạng wifi bị yếu. Giờ dùng máy samsung khác cũng kết nối wifi đó gọi thì âm thanh, hình ảnh rất sắc nét. CÓ thế mang đổi 1 1 k ạ nhắn tin cũng k được mượt", ,đt mới mua chưa được 1 tháng nhưng gọi video cứ bị kết nối wifi kém k nghe được tiếng và hình ảnh bị nhè lúc mới đem về cứ tưởng do mạng wifi bị yếu giờ dùng máy samsung khác cũng kết nối wifi đó gọi thì âm thanh hình ảnh rất sắc nét có thế mang đổi 1 1 k ạ nhắn tin cũng k được mượt,đt mới mua chưa được 1 tháng nhưng gọi video cứ bị kết_nối wifi kém k nghe được tiếng và hình_ảnh bị nhè lúc mới đem về cứ tưởng do mạng wifi bị yếu giờ dùng máy samsung khác cũng kết_nối wifi đó gọi thì âm_thanh hình_ảnh rất sắc nét có thế mang đổi 1 1 k ạ nhắn_tin cũng k được mượt
Tại sao lại k dùng ảnh để làm hình nền và màn hình khoá đc vậy ạ, ,tại sao lại k dùng ảnh để làm hình nền và màn hình khoá đc vậy ạ,tại_sao lại k dùng ảnh để làm hình nền và màn_hình khoá đc vậy ạ
Trung tâm bảo hành còn bó tay luôn, ,trung tâm bảo hành còn bó tay luôn,trung_tâm bảo_hành còn bó_tay luôn
"Tôi thấy ko nên sài con này, quá tệ. Mua 4 tháng mà đơ miết à. Tôi có cảm giác hàng bán ở Việt mình là hàng dạt vậy á. Tôi từng mua dòng A02s ở Philippines, chất lượng còn tốt hơn con A05s này. Điều này khiến tôi suy nghĩ Samsung tốt chất lượng hay chỉ là thương hiệu", ,tôi thấy ko nên sài con này quá tệ mua 4 tháng mà đơ miết à tôi có cảm giác hàng bán ở việt mình là hàng dạt vậy á tôi từng mua dòng a02s ở philippines chất lượng còn tốt hơn con a05s này điều này khiến tôi suy nghĩ samsung tốt chất lượng hay chỉ là thương hiệu,tôi thấy ko nên sài con này quá tệ mua 4 tháng mà đơ miết à tôi có cảm_giác hàng bán ở việt mình là hàng dạt vậy á tôi từng mua dòng a02s ở philippines chất_lượng còn tốt hơn con a05s này điều này khiến tôi suy_nghĩ samsung tốt chất_lượng hay chỉ là thương_hiệu
"Dùng được 6 ngày xạc không vào pin, cảm ứng loạn đơ, mang ra điện máy xanh thì kêu thẩm định lỗi chờ 15 ngày. Lần chốt và cũng lần cuối.", ,dùng được 6 ngày xạc không vào pin cảm ứng loạn đơ mang ra điện máy xanh thì kêu thẩm định lỗi chờ 15 ngày lần chốt và cũng lần cuối,dùng được 6 ngày xạc không vào pin cảm_ứng loạn đơ mang ra điện_máy xanh thì kêu thẩm_định lỗi chờ 15 ngày lần chốt và cũng lần cuối
Điện thoại thiếu nhiều chức năng., ,điện thoại thiếu nhiều chức năng,điện_thoại thiếu nhiều chức_năng
Tệ pin dại quá, ,tệ pin dại quá,tệ pin dại quá
"pin sụt nhanh, tệ quá", ,pin sụt nhanh tệ quá,pin sụt nhanh tệ quá
Máy xài 4g kết nối kém, ,máy xài 4g kết nối kém,máy xài 4g kết_nối kém
"Đt sai màu hao pin quá, nóng máy, ngày sạc phải 2 lần. Hic.", ,đt sai màu hao pin quá nóng máy ngày sạc phải 2 lần hic,đt sai màu hao pin quá nóng máy ngày sạc phải 2 lần hic
"Điện thoại mình xài bốn năm tháng nay rồi, mới mua về điện thoại mới nào cũng nóng và hao pin vì nó phải tải dữ liệu và cập nhật dữ liệu, đó là bình thường.Nhưng xài bốn năm tháng rồi mà nó vẫn nóng vẫn hao pin thì sợ dòng điện thoại này luôn.Dòng S23 FE Này quá mau nóng và hao pin, chỉ lướt wed, sử dụng trong nhà, độ sáng thấp, wifi mà 1 tiếng 40 phút mà hơn 30% pin..... dt nóng rang, đo pin nhiệt độ 42 43 44 độ.Chụp hình, chơi game, live tiktok Facebook còn nóng ác nữa, nóng hơn 45 47 48 độ..... Pin thì tuột 1 tiếng hơn 20%Mình dùng rất nhiều dòng dt samsung rồi, Trong khi vẫn cách dùng này, những dòng dt khác của samsung trong nhà hay ở ngoài trời đều không bao giờ phải chịu cảnh nong quá 44 độ ......", ,điện thoại mình xài bốn năm tháng nay rồi mới mua về điện thoại mới nào cũng nóng và hao pin vì nó phải tải dữ liệu và cập nhật dữ liệu đó là bình thườngnhưng xài bốn năm tháng rồi mà nó vẫn nóng vẫn hao pin thì sợ dòng điện thoại này luôndòng s23 fe này quá mau nóng và hao pin chỉ lướt wed sử dụng trong nhà độ sáng thấp wifi mà 1 tiếng 40 phút mà hơn 30 pin dt nóng rang đo pin nhiệt độ 42 43 44 độchụp hình chơi game live tiktok facebook còn nóng ác nữa nóng hơn 45 47 48 độ pin thì tuột 1 tiếng hơn 20mình dùng rất nhiều dòng dt samsung rồi trong khi vẫn cách dùng này những dòng dt khác của samsung trong nhà hay ở ngoài trời đều không bao giờ phải chịu cảnh nong quá 44 độ,điện_thoại mình xài bốn năm tháng nay rồi mới mua về điện_thoại mới nào cũng nóng và hao pin vì nó phải tải dữ_liệu và cập_nhật dữ_liệu đó là bình thườngnhưng xài bốn năm_tháng rồi mà nó vẫn nóng vẫn hao pin thì sợ dòng điện_thoại này luôndòng s23 fe này quá mau nóng và hao pin chỉ lướt wed sử_dụng trong nhà độ sáng thấp wifi mà 1 tiếng 40 phút mà hơn 30 pin dt nóng rang đo pin nhiệt_độ 42 43 44 độchụp hình chơi game live tiktok facebook còn nóng ác nữa nóng hơn 45 47 48 độ pin thì tuột 1 tiếng hơn 20mình dùng rất nhiều dòng dt samsung rồi trong khi vẫn cách dùng này những dòng dt khác của samsung trong nhà hay ở ngoài_trời đều không bao_giờ phải chịu cảnh nong quá 44 độ
"Máy bị lỗi 4G/5G vào lúc được lúc không, mình tưởng chỉ máy mình bị nên giới thiệu bạn mình mua thêm máy khác về cũng bị lỗi như nhau", ,máy bị lỗi 4g5g vào lúc được lúc không mình tưởng chỉ máy mình bị nên giới thiệu bạn mình mua thêm máy khác về cũng bị lỗi như nhau,máy bị lỗi 4g5g vào lúc được lúc không mình tưởng chỉ máy mình bị nên giới_thiệu bạn mình mua thêm máy khác về cũng bị lỗi như nhau
"Nhanh hêt pin,nóng máy,không chặn được cuộc gọi không xác định", ,nhanh hêt pinnóng máykhông chặn được cuộc gọi không xác định,nhanh hêt pinnóng máykhông chặn được cuộc_gọi không xác_định
Bắt mạng rất yếu, ,bắt mạng rất yếu,bắt mạng rất yếu
Mới mua 2 ngày tuột pin kinh khũng đt thì quá nóng măcn dù ko chơi game, ,mới mua 2 ngày tuột pin kinh khũng đt thì quá nóng măcn dù ko chơi game,mới mua 2 ngày tuột pin kinh khũng đt thì quá nóng măcn dù ko chơi game
"Chiếc điện thoại dòng s với giá tiền này là cái đầu tiên thấy tệ, ngoài hình thức thì hiệu năng hay thậm chí cả máy ảnh còn tệ hơn cả s23.tất cả những gì chip exynos làm được là điều tệ hại nhất cho dòng ss S.", ,chiếc điện thoại dòng s với giá tiền này là cái đầu tiên thấy tệ ngoài hình thức thì hiệu năng hay thậm chí cả máy ảnh còn tệ hơn cả s23tất cả những gì chip exynos làm được là điều tệ hại nhất cho dòng ss s,chiếc điện_thoại dòng s với giá tiền này là cái đầu_tiên thấy tệ ngoài hình_thức thì hiệu_năng hay thậm_chí cả máy_ảnh còn tệ hơn cả s23tất cả những gì chip exynos làm được là điều tệ_hại nhất cho dòng ss s
"Do cần máy làm việc nên có ra quầy TGDD ở ĐMX mua gấp con S24 dù đã đọc đánh giá nhiều bạn nói nó bị mất sóng 4G và đúng thật con này bị lỗi 4G. Mình đã đổi máy theo chế độ BH của TGDD, máy đổi cũng tình trạng y hệt, 4G như sau bão Yagi vậy. Không hiểu sao dòng S cao cấp của SS lại có lỗi như vậy mà vẫm bán ra TT. Mà bây giờ dùng không được đổi dòng khác tự dưng mất tiền dù lỗi của nhà SX", ,do cần máy làm việc nên có ra quầy tgdd ở đmx mua gấp con s24 dù đã đọc đánh giá nhiều bạn nói nó bị mất sóng 4g và đúng thật con này bị lỗi 4g mình đã đổi máy theo chế độ bh của tgdd máy đổi cũng tình trạng y hệt 4g như sau bão yagi vậy không hiểu sao dòng s cao cấp của ss lại có lỗi như vậy mà vẫm bán ra tt mà bây giờ dùng không được đổi dòng khác tự dưng mất tiền dù lỗi của nhà sx,do cần máy làm_việc nên có ra quầy tgdd ở đmx mua gấp con s24 dù đã đọc đánh_giá nhiều bạn nói nó bị mất sóng 4g và đúng thật con này bị lỗi 4g mình đã đổi máy theo chế_độ bh của tgdd máy đổi cũng tình_trạng y_hệt 4g như sau bão yagi vậy không hiểu sao dòng s cao_cấp của ss lại có lỗi như_vậy mà vẫm bán ra tt mà bây_giờ dùng không được đổi dòng khác tự_dưng mất tiền dù lỗi của nhà sx
"Mình mua S24 được 20 ngày mình phải ra Samsung Care tận 4 lần vì lỗi không nhận được cuộc gọi lúc được, lúc không, dù đã được đổi máy mới 1 lần nhưng tình trạng này vẫn tiếp tục, mình cảm thấy thật sự thất vọng về S24, Samsung và TGDD vì bỏ hơn chục củ mà rước cục nợ về người, luôn lo sợ bị nhỡ các cuộc gọi quan trọng. Mong mọi người nghiên cứu kỹ trước khi mua sản phẩm này", ,mình mua s24 được 20 ngày mình phải ra samsung care tận 4 lần vì lỗi không nhận được cuộc gọi lúc được lúc không dù đã được đổi máy mới 1 lần nhưng tình trạng này vẫn tiếp tục mình cảm thấy thật sự thất vọng về s24 samsung và tgdd vì bỏ hơn chục củ mà rước cục nợ về người luôn lo sợ bị nhỡ các cuộc gọi quan trọng mong mọi người nghiên cứu kỹ trước khi mua sản phẩm này,mình mua s24 được 20 ngày mình phải ra samsung care tận 4 lần vì lỗi không nhận được cuộc_gọi lúc được lúc không dù đã được đổi máy mới 1 lần nhưng tình_trạng này vẫn tiếp_tục mình cảm_thấy thật_sự thất_vọng về s24 samsung và tgdd vì bỏ hơn chục củ mà rước cục nợ về người luôn lo_sợ bị nhỡ các cuộc_gọi quan_trọng mong mọi người nghiên_cứu kỹ trước khi mua sản_phẩm này
Không bao giờ mua điện thoại Sam Sung cảm ứng nhạy khó chịu lắm, ,không bao giờ mua điện thoại sam sung cảm ứng nhạy khó chịu lắm,không bao_giờ mua điện_thoại sam sung cảm_ứng nhạy khó_chịu lắm
"S24 Sử dụng mạng 4g rất yếu, hay bị đơ, lỗi kết nối, phải khởi động lại máy hoặc bật rồi tắt chế độ máy bay mới có mạng trở lại. Thất vọng quá", ,s24 sử dụng mạng 4g rất yếu hay bị đơ lỗi kết nối phải khởi động lại máy hoặc bật rồi tắt chế độ máy bay mới có mạng trở lại thất vọng quá,s24 sử_dụng mạng 4g rất yếu hay bị đơ lỗi kết_nối phải khởi_động lại máy hoặc bật rồi tắt chế_độ máy_bay mới có mạng trở_lại thất_vọng quá
"Máy hay bị mất 4G, thỉnh thoảng mất cả sóng đt do máy ko phải do sim nhé , gọi đến ko được, gọi đi thì lại được. Pin ko bền. Chưa bao giờ mua đt gặp phải máy bị lỗi ntn", ,máy hay bị mất 4g thỉnh thoảng mất cả sóng đt do máy ko phải do sim nhé gọi đến ko được gọi đi thì lại được pin ko bền chưa bao giờ mua đt gặp phải máy bị lỗi ntn,máy hay bị mất 4g thỉnh_thoảng mất cả sóng đt do máy ko phải do sim nhé gọi đến ko được gọi đi thì lại được pin ko bền chưa bao_giờ mua đt gặp phải máy bị lỗi ntn
"Bỏ ra gần 20tr mua cái điện thoại này mà tính năng cơ bản là nghe gọi không dùng được, gọi đi thì được nhưng người ta gọi đến toàn báo thuê bao không liên lạc được, dù đã đổi sim mới, nhà làm ăn nghe gọi nhiều mà như này thì làm sao chấp nhận được. Cứ tưởng mỗi máy mình bị, lên nhóm facebook nhiều người cũng kêu, có người bảo hành 5 6 lần cũng ko hết lỗi, có người đổi cái mới vẫn lỗi, giờ vào đọc đánh giá ở TGDĐ cũng nhiều người kêu lỗi đó. Thật sự rất khó chịu với 1 cái điện thoại gần 20tr như này. Mong TGDĐ có chính sách thỏa đáng thế nào hay thu hồi máy lỗi với những người mua dòng máy này", ,bỏ ra gần 20tr mua cái điện thoại này mà tính năng cơ bản là nghe gọi không dùng được gọi đi thì được nhưng người ta gọi đến toàn báo thuê bao không liên lạc được dù đã đổi sim mới nhà làm ăn nghe gọi nhiều mà như này thì làm sao chấp nhận được cứ tưởng mỗi máy mình bị lên nhóm facebook nhiều người cũng kêu có người bảo hành 5 6 lần cũng ko hết lỗi có người đổi cái mới vẫn lỗi giờ vào đọc đánh giá ở tgdđ cũng nhiều người kêu lỗi đó thật sự rất khó chịu với 1 cái điện thoại gần 20tr như này mong tgdđ có chính sách thỏa đáng thế nào hay thu hồi máy lỗi với những người mua dòng máy này,bỏ ra gần 20tr mua cái điện_thoại này mà tính_năng cơ_bản là nghe gọi không dùng được gọi đi thì được nhưng người ta gọi đến toàn báo thuê_bao không liên_lạc được dù đã đổi sim mới nhà làm_ăn nghe gọi nhiều mà như này thì làm_sao chấp_nhận được cứ tưởng mỗi máy mình bị lên nhóm facebook nhiều người cũng kêu có người bảo_hành 5 6 lần cũng ko hết lỗi có người đổi cái mới vẫn lỗi giờ vào đọc đánh_giá ở tgdđ cũng nhiều người kêu lỗi đó thật_sự rất khó_chịu với 1 cái điện_thoại gần 20tr như này mong tgdđ có chính_sách thoả_đáng thế_nào hay thu_hồi máy lỗi với những người mua dòng máy này
